Territory,Restaurant ID,Order ID,Order Time,Month,Order Status,ItemName,Customizations,Special Instructions,ItemPrice,Order Price,Currency,Tea,Restaurant,Name,x,y,smallx,smally
5,3e371220-f559-46ee-8ec9-b4c574416099,3ed2e4e7-0675-4528-8d8a-e9ca70b217e1,2020-12-14 02:58:05 +0000 UTC,Dec,completed,Bubble Milk Tea,"Large, Hot, No Sugar, White Bubble",,5.75,19.26,USD,TRUE,Moge Tea (East Village),TT,503,729,833,701
5,3e371220-f559-46ee-8ec9-b4c574416099,3ed2e4e7-0675-4528-8d8a-e9ca70b217e1,2020-12-14 02:58:05 +0000 UTC,Dec,completed,Fresh Grapefruit Green Tea,"No Sugar, Less Ice",,7,19.26,USD,TRUE,Moge Tea (East Village),TT,712,732,868,684
5,a950414b-a339-4fc7-8886-835ffc3d70b7,8dae9298-78f2-45fa-a6b9-c3b5014498d8,2020-11-20 00:55:17 +0000 UTC,Nov,completed,Oolong Milk Tea,"Large, Zero (0%), No Ice",,4.85,21.81,USD,TRUE,Kung Fu Tea,TT,1130,849,587,775
5,a950414b-a339-4fc7-8886-835ffc3d70b7,8dae9298-78f2-45fa-a6b9-c3b5014498d8,2020-11-20 00:55:17 +0000 UTC,Nov,completed,Oolong Milk Tea,"Large, Zero (0%), No Ice",,4.85,21.81,USD,TRUE,Kung Fu Tea,TT,1024,473,537,692
5,a950414b-a339-4fc7-8886-835ffc3d70b7,8dae9298-78f2-45fa-a6b9-c3b5014498d8,2020-11-20 00:55:17 +0000 UTC,Nov,completed,Kung Fu Green Milk Tea,"No Ice, Oreo, Large, Little (30%)",,4.85,21.81,USD,TRUE,Kung Fu Tea,JY,755,773,888,822
5,5505967a-cfa0-4e22-ad2a-479cb3903ffe,5dcd1551-fcb9-4843-b5d9-10304b3ff6ad,2020-11-08 20:00:14 +0000 UTC,Nov,completed,Milk Green Tea,"No Ice, Medium , 30%",,4.85,20.38,USD,TRUE,Kung Fu Tea,JY,625,799,522,661
5,5505967a-cfa0-4e22-ad2a-479cb3903ffe,5dcd1551-fcb9-4843-b5d9-10304b3ff6ad,2020-11-08 20:00:14 +0000 UTC,Nov,completed,Oolong Milk Tea,"No Ice, Large, 0%",,4.85,20.38,USD,TRUE,Kung Fu Tea,TT,1014,892,845,757
5,5505967a-cfa0-4e22-ad2a-479cb3903ffe,5dcd1551-fcb9-4843-b5d9-10304b3ff6ad,2020-11-08 20:00:14 +0000 UTC,Nov,completed,Oolong Milk Tea,"No Ice, Large, 0%",,4.85,20.38,USD,TRUE,Kung Fu Tea,TT,1188,893,850,748
5,a950414b-a339-4fc7-8886-835ffc3d70b7,70edf8bf-b9ca-4851-b175-37fdbaeb0ed6,2020-10-04 18:41:52 +0000 UTC,Oct,completed,Kung Fu Green Milk Tea,"No Ice, Bubble(Boba), Large, Little (30%)",,4.85,21.81,USD,TRUE,Kung Fu Tea,JY,802,485,831,863
5,a950414b-a339-4fc7-8886-835ffc3d70b7,70edf8bf-b9ca-4851-b175-37fdbaeb0ed6,2020-10-04 18:41:52 +0000 UTC,Oct,completed,Oolong Milk Tea,"Large, Zero (0%), No Ice",,4.85,21.81,USD,TRUE,Kung Fu Tea,TT,432,686,570,798
