shop,menu,format,base,milk,liquid,flavor,toppings,tops
Teado Tea Shop,Wheat Germ Black Tea,black tea,tea,0,0,undefined,wheat,other
Dragon Tea,Passion Fruit Jasmine Green Tea w/Three Toppings,green tea,tea,0,passion fruit,fruit,undefined toppings,other
ViVi Bubble Tea,Tiramisu Slush,slush,slush,0,tiramisu,other,tiramisu,other
M Tea,"Milk Tea w. Herbal Jelly,Pudding & Taro Ball",tea,tea,1,Milk,milk,"taro,pudding,herbal jelly",jelly
Bubbly Tea,Creamy Foam QQ Taro,drink,drink,0,0,undefined,"taro,cream foam",taro
Xing Fu Tang,Taro Boba Milk,milk,milk,1,taro,taro,taro tapioca ball,taro
Truedan,Jasmine Latte With Taro Balls and Sesame Cream,green tea,milk,1,milk,milk,"taro balls,sesame cream",taro
Truedan,Taro Milk with Taro Balls,tea,tea,1,taro,taro,taro balls,taro
Dragon Tea,Taro Ball Milk Tea,tea,tea,1,0,milk,taro,taro
M Tea,Fresh Ube Milk w. Taro Ball,milk,milk,1,0,milk,taro,taro
Machi Machi,Black Milk Tea with Mini Taro Balls,black tea,tea,1,0,milk,taro,taro
The Alley,Coconut Milk with Taro,milk,milk,1,coconut,fruit,taro,taro
Truedan,Honey Milk with Taro Balls,tea,tea,1,honey milk,honey,taro,taro
Ten Ren's Tea Time,Taro Shredded Ice,shredded ice,other,0,taro,taro,taro,taro
Boba Fries,Taro Shake,shake,other,0,taro,taro,taro,taro
Kung Fu Tea,Taro Milk/Milk Green Tea,green tea,tea,1,taro,taro,taro,taro
Teado Tea Shop,Taro Green Tea,green tea,tea,0,taro,taro,taro,taro
M Tea,Fresh Taro Milk w. Taro Ball,milk,milk,1,taro,taro,taro,taro
Coco Fresh Tea & Juice,Red Bean Tapioca Milk,milk,milk,1,0,milk,"tapioca,red bean",tapioca ball
Coco Fresh Tea & Juice,Red Bean Tapioca Milk,milk,milk,1,0,milk,"tapioca,red bean",red bean
Coco Fresh Tea & Juice,Grass Jelly Tapioca Milk,milk,milk,1,0,milk,"tapioca,grass jelly",tapioca ball
Coco Fresh Tea & Juice,Grass Jelly Tapioca Milk,milk,milk,1,0,milk,"tapioca,grass jelly",jelly
Truedan,Brown Sugar Milk with Pudding&Bubble,tea,tea,1,brown sugar,brown sugar,"tapioca,pudding",tapioca ball
Truedan,Brown Sugar Milk with Pudding&Bubble,tea,tea,1,brown sugar,brown sugar,"tapioca,pudding",other
Bubbly Tea,Oreo Tapioca Milk Green Tea,green tea,tea,1,0,milk,"tapioca,oreo",tapioca ball
Bubbly Tea,Oreo Tapioca Milk Green Tea,green tea,tea,1,0,milk,"tapioca,oreo",other
Trutea,Sweet Taro & Purple Potato Dirty Bubble Milk Tea,tea,tea,1,0,milk,"tapioca ball,taro,potato",tapioca ball
Trutea,Sweet Taro & Purple Potato Dirty Bubble Milk Tea,tea,tea,1,0,milk,"tapioca ball,taro,potato",taro
Trutea,Sweet Taro & Purple Potato Dirty Bubble Fresh Milk Tea,tea,tea,1,0,milk,"tapioca ball,taro,potato",tapioca ball
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",tapioca ball
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",taro
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,Milk,milk,"tapioca ball,taro",tapioca ball
YanYan Tea,Xiaofang Boba Taro Milk Tea,tea,tea,1,Milk,milk,"tapioca ball,taro",other
BIAO Sugar,Ube Brown Sugar Boba Milk w. Pudding,milk,milk,1,brown sugar,brown sugar,"tapioca ball,pudding",tapioca ball
BIAO Sugar,Oreo Brown Sugar Boba Milk,milk,milk,1,brown sugar,brown sugar,"tapioca ball,oreo",tapioca ball
BIAO Sugar,Oreo Brown Sugar Boba Milk,milk,milk,1,brown sugar,brown sugar,"tapioca ball,oreo",other
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl,Tiger Jelly & Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",tapioca ball
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl,Tiger Jelly & Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",cream
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl,Tiger Jelly & Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",jelly
Tiger Sugar,"Brown Sugar Chocalate Malt with Boba,Pearl & Cream Mousse",drink,drink,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",tapioca ball
Tiger Sugar,"Brown Sugar Chocalate Malt with Boba,Pearl & Cream Mousse",drink,drink,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",jelly
Tiger Sugar,"Brown Sugar Chocalate Malt with Boba,Pearl & Cream Mousse",drink,drink,1,brown sugar,brown sugar,"tapioca ball,jelly,cream mousse",cream
YanYan Tea,"Grass Jelly,Pudding,& Boba Milk Tea",tea,tea,1,0,milk,"tapioca ball,grass jelly,pudding",tapioca ball
YanYan Tea,"Grass Jelly,Pudding,& Boba Milk Tea",tea,tea,1,0,milk,"tapioca ball,grass jelly,pudding",jelly
M Tea,Brulee Bubble Tea,tea,tea,0,0,undefined,"tapioca ball,crème brulee",cream
M Tea,Brulee Bubble Tea,tea,tea,0,0,undefined,"tapioca ball,crème brulee",tapioca ball
Tiger Sugar,Brown Sugar Coffee Latte with Pearl & Cream Mousse,coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,Pearl & Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,& Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,Brown Sugar Black Tea Latte with Boba & Cream Mousse,Black tea,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,Brown Sugar Chocalate Malt with Boba & Cream Mousse,drink,drink,1,brown sugar,brown sugar,"tapioca ball,creame mousse",tapioca ball
Tiger Sugar,Brown Sugar Coffee Latte with Pearl & Cream Mousse,coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,Pearl & Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,"Brown Sugar Coffee Latte with Boba,& Cream Mousse",coffee,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,Brown Sugar Black Tea Latte with Boba & Cream Mousse,Black tea,milk,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
Tiger Sugar,Brown Sugar Chocalate Malt with Boba & Cream Mousse,drink,drink,1,brown sugar,brown sugar,"tapioca ball,creame mousse",cream
M Tea,Taro Bubble Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",tapioca ball
M Tea,Taro Bubble Milk Tea,tea,tea,1,taro,taro,"tapioca ball,taro",taro
Truedan,Passion Fruit Green Tea with Bubble&Coconut Jelly,green tea,tea,0,passion fruit,fruit,"tapioca ball,jelly",tapioca ball
Tiger Sugar,Brown Sugar Milk with Pearl & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl and Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Tiger Sugar,Brown Sugar Milk with Boba & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Tiger Sugar,Brown Sugar Green Tea Latte with Boba & Cream Mousse,green tea,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",tapioca ball
Truedan,Passion Fruit Green Tea with Bubble&Coconut Jelly,green tea,tea,0,passion fruit,fruit,"tapioca ball,jelly",jelly
Tiger Sugar,Brown Sugar Milk with Pearl & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
Tiger Sugar,"Brown Sugar Milk with Boba,Pearl and Cream mousse",milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
Tiger Sugar,Brown Sugar Milk with Boba & Cream mousse,milk,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
Tiger Sugar,Brown Sugar Green Tea Latte with Boba & Cream Mousse,green tea,milk,1,brown sugar,brown sugar,"tapioca ball,cream mousse",cream
BIAO Sugar,Brown Sugar Boba Milk with Coffee Foam and Jelly,milk,milk,1,brown sugar,brown sugar,"tapioca ball,coffee foam,jelly",tapioca ball
BIAO Sugar,Brown Sugar Boba Milk with Coffee Foam and Jelly,milk,milk,1,brown sugar,brown sugar,"tapioca ball,coffee foam,jelly",other
BIAO Sugar,Brown Sugar Boba Milk with Coffee Foam and Jelly,milk,milk,1,brown sugar,brown sugar,"tapioca ball,coffee foam,jelly",jelly
PaTea,Yellow Babo Milk,milk,milk,1,0,milk,tapioca ball,tapioca ball
YanYan Tea,Xiaofang Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Shiny Tea,White Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
ViVi Bubble Tea,Vivi Bubble Milk Tea (Black/Green),"black tea,green tea",tea,1,0,milk,tapioca ball,tapioca ball
Bubbly Tea,Signature Tapioca Milk Green Tea,green tea,tea,1,0,milk,tapioca ball,tapioca ball
Bubbly Tea,Signature Tapioca Milk Black Tea,black tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Signature Bubble Tea,tea,tea,0,0,milk,tapioca ball,tapioca ball
Alimama,Signature Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Alimama,Royal Milk Tea with Mini Boba,tea,tea,1,0,milk,tapioca ball,tapioca ball
Gong Cha,Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Mr. Wish,Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Shiny Tea,Panda (Mix Pearl Milk Tea),tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Lava Pearl Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,Lava Pearl Latte,chocolate,milk,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Pearl Green Tea,green tea,tea,0,0,undefined,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Pearl Black Tea Latte,black tea,milk,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Hot Pearl Black Tea,black tea,tea,0,0,undefined,tapioca ball,tapioca ball
Tiger Sugar,Golden Oolong Tea with Boba,Oolong tea,tea,0,0,undefined,tapioca ball,tapioca ball
FIFTYLAN Washington Square Park,Golden Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Moge Tee,DaHongPao Bubble Milk Tea,black tea,tea,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Pearl Green Tea,green tea,tea,0,0,undefined,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Pearl Black Tea Latte,black tea,milk,1,0,milk,tapioca ball,tapioca ball
Yi Fang Taiwan Fruit Tea,Cold Pearl Black Tea,black tea,tea,0,0,undefined,tapioca ball,tapioca ball
Alimama,Cold Brew Milk Tea with Mini Boba,tea,tea,1,0,milk,tapioca ball,tapioca ball
Mi Tea,Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Dragon Tea,Bubble Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
FIFTYLAN Washington Square Park,Bubble Green Tea,green tea,tea,0,0,undefined,tapioca ball,tapioca ball
Teado Tea Shop,Bubble Coffee,coffee,milk,0,0,undefined,tapioca ball,tapioca ball
FIFTYLAN Washington Square Park,Bubble Black Tea,black tea,tea,0,0,undefined,tapioca ball,tapioca ball
BIAO Sugar,Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Boba Fries,Boba Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Machi Machi,Black Milk Bubble Tea,black tea,tea,1,0,milk,tapioca ball,tapioca ball
Coco Fresh Tea & Juice,2 Ladies Milk Tea,tea,tea,1,0,milk,tapioca ball,tapioca ball
Ten Ren's Tea Time,Red Apple Tapioca Fruit Tea,tea,tea,0,apple,fruit,tapioca ball,tapioca ball
Ten Ren's Tea Time,Green Apple Tapioca Fruit Tea,tea,tea,0,apple,fruit,tapioca ball,tapioca ball
Bubbly Tea,Green Apple Bubbly,juice,juice,0,apple,fruit,tapioca ball,tapioca ball
